назва;стан;білки_г;жири_г;вуглеводи_г;клітковина_г;цукри_г;натрій_мг;source;спирт_г
Маш;сухе;23.86;1.15;62.62;16.3;6.6;15;usda:174256;
Соя суха;сухе;36.49;19.94;30.16;9.3;7.33;2;usda:174270;
Едамаме;сире;11.22;4.73;7.61;4.8;2.48;6;usda:168410;
Тофу твердий;як продається;9.98;5.26;1.18;1;0.71;4;usda:174290;
Тофу шовковий;як продається;4.8;2.7;2.9;0.1;1.31;5;usda:174292;
Темпе;як продається;20.29;10.8;7.64;;;9;usda:174272;
Хумус (готовий);як продається;7.78;17.82;15;5.5;0.62;426;usda:174289;
Рис білий довгозернистий;сухе;7.13;0.66;79.95;1.3;0.12;5;usda:169756;
Рис круглозернистий;сухе;6.5;0.52;79.15;;;1;usda:168931;
Басматі;сухе;7.13;0.66;79.95;1.3;0.12;5;usda:169756;
Жасмин;сухе;7;0.7;80;1;0.1;5;estimate;
Рис бурий;сухе;7.54;3.2;76.25;3.6;0.66;5;usda:169703;
Рис дикий;сухе;14.73;1.08;74.9;6.2;2.5;7;usda:169726;
Рис арборіо;сухе;6.9;1.3;77;1.9;0.3;0;estimate;
Гречка ядриця;сухе;11.73;2.71;74.95;10.3;;11;usda:170685;
Гречка зелена;сухе;13.25;3.4;71.5;10;;1;usda:170286;
Вівсянка пластівці;сухе;13.15;6.52;67.7;10.1;0.99;6;usda:173904;
Вівсяна крупа;сухе;12.51;5.8;69.75;;;0.31;usda:2346397;
Булгур;сухе;12.29;1.33;75.87;12.5;0.41;17;usda:170688;
Кускус;сухе;12.76;0.64;77.43;5;;10;usda:169699;
Кіноа;сухе;14.12;6.07;64.16;7;;5;usda:168874;
Пшоно;сухе;11.02;4.22;72.85;8.5;;5;usda:169702;
Перловка;сухе;9.91;1.16;77.72;15.6;0.8;9;usda:170284;
Ячна крупа;сухе;12.48;2.3;73.48;17.3;0.8;12;usda:170283;
Манка;сухе;13.33;1.84;71.99;3.68;;0.43;usda:2003589;
Кукурудзяна крупа (полента);сухе;7.11;1.75;79.45;3.9;1.61;7;usda:168929;
Пшенична крупа;сухе;13;0.7;72;;1.8;16;estimate;
Амарант;сухе;13.56;7.02;65.25;6.7;1.69;4;usda:170682;
Спельта;сухе;14.57;2.43;70.19;10.7;6.82;8;usda:169745;
Вівсяні висівки;сухе;17.3;7.03;66.22;15.4;1.45;4;usda:168872;
Пшеничні висівки;сухе;15.55;4.25;64.51;42.8;0.41;2;usda:169722;
Мюслі;сухе;8.87;14.3;63.4;6.9;19.4;171;ciqual:32004;
Гранола;сухе;10.55;11.62;73.65;10.2;20.34;50;usda:173892;
Кукурудзяні пластівці;сухе;5.9;0.91;88.01;2.7;7.84;571;usda:174648;
Борошно пшеничне вищого сорту;сухе;10.33;0.98;76.31;2.7;0.27;2;usda:169761;
Борошно цільнозернове;сухе;13.21;2.5;71.97;10.7;0.41;2;usda:168893;
Борошно житнє;сухе;10.88;1.52;75.43;11.8;1.1;2;usda:168886;
Борошно кукурудзяне;сухе;6.93;3.86;76.85;7.3;0.64;5;usda:170290;
Борошно гречане;сухе;12.62;3.1;70.59;10;2.6;11;usda:170687;
Борошно вівсяне;сухе;13.17;6.31;69.92;10.5;;3.62;usda:2261421;
Борошно рисове;сухе;5.95;1.42;80.13;2.4;0.12;0;usda:169714;
Борошно мигдальне;сухе;26.24;50.23;16.25;9.27;;0.89;usda:2261420;
Борошно кокосове;сухе;16.14;15.28;58.9;34.24;;46.94;usda:2515382;
Крохмаль картопляний;сухе;0;0.2;86.3;0.55;;3.75;ciqual:4090;
Крохмаль кукурудзяний;сухе;0.26;0.05;91.27;0.9;0;9;usda:169698;
Дріжджі сухі;сухе;40.44;7.61;41.22;26.9;0;51;usda:175043;
Дріжджі пресовані;як продається;8.4;1.9;18.1;8.1;0;30;usda:175042;
Розпушувач;сухе;0.1;0;24.1;0.2;0;7893;usda:172804;
Панірувальні сухарі;сухе;13.35;5.3;71.98;4.5;6.2;732;usda:174928;
Паста суха з твердих сортів;сухе;13.04;1.51;74.67;3.2;2.67;6;usda:168927;
Паста яєчна суха;сухе;14.16;4.44;71.27;3.3;1.88;21;usda:169755;
Паста цільнозернова;сухе;13.87;2.93;73.37;9.2;2.74;6;usda:169738;
Паста свіжа;як продається;11.31;2.3;54.73;;;26;usda:169727;
Локшина рисова;сухе;5.95;0.56;80.18;1.6;0.12;182;usda:169742;
Локшина гречана (соба);сухе;14.38;0.71;74.62;;;792;usda:168906;
Локшина яєчна;сухе;14.16;4.44;71.27;3.3;1.88;21;usda:169755;
Локшина швидкого приготування;сухе;10.17;17.59;60.26;2.9;1.98;1855;usda:171177;
Вермішель;сухе;13.04;1.51;74.67;3.2;2.67;6;usda:168927;
Равіолі свіжі;як продається;11.3;7.69;37.3;2.23;3.83;458;ciqual:25181;
Ньоккі;готове;5.01;2.05;34.1;1.75;1.1;402;ciqual:25510;
Пельмені заморожені (напівфабрикат);як продається;7.6;8.8;22.1;1.8;0.19;950;estimate;
Вареники з картоплею заморожені;як продається;6.1;3.2;37;;1.8;250;estimate;
Вареники з сиром заморожені;як продається;9;6;31;1.5;2;350;estimate;
Хліб пшеничний;як продається;8.85;3.33;49.42;2.7;5.67;490;usda:174924;
Хліб житній;як продається;8.5;3.3;48.3;5.8;3.85;603;usda:172684;
Хліб житньо-пшеничний (типу «Український»);як продається;9.06;1;51.5;4.5;2.4;450;ciqual:7125;
Хліб бородінський;як продається;7.1;1;51.2;;;;estimate;
Хліб цільнозерновий;як продається;12.45;3.5;42.71;6;4.34;455;usda:172688;
Хліб тостовий;як продається;9.43;3.59;49.2;2.3;5.34;477;usda:325871;
Багет;як продається;9.06;1.4;58.3;2.7;2.3;500;ciqual:7001;
Чіабата;як продається;9.5;1.5;41.5;5.67;5.83;458.33;estimate;
Лаваш тонкий;як продається;8.6;3.2;59;2.9;1.3;840;estimate;
Лаваш товстий (піта);як продається;9.1;1.2;55.7;2.2;;536;usda:172816;
Тортилья пшенична;як продається;8.01;7.58;49.27;2.4;2.66;742;usda:167535;
Тортилья кукурудзяна;як продається;5.7;2.85;44.64;6.3;0.88;45;usda:175036;
Булочка для бургера;як продається;9.77;3.91;50.12;1.8;7.28;494;usda:172796;
Круасан;як продається;8.2;21;45.8;2.6;11.26;384;usda:174987;
Хлібці житні;як продається;7.9;1.3;82.2;16.5;1.07;410;usda:172739;
Хлібці рисові;як продається;8.2;2.8;81.5;4.2;0.88;26;usda:170250;
Крекер;як продається;9.46;8.64;74.05;2.8;1.29;941;usda:172746;
Сухарі;як продається;13.5;7.2;72.3;;;253;usda:174981;
Грінки;як продається;11.9;6.6;73.5;5.1;;698;usda:172751;
Тісто листкове;як продається;7.3;38.1;45.1;1.5;0.74;249;usda:172790;
Тісто дріжджове;як продається;7;5;45;2;3;350;estimate;
Тісто філо;як продається;7.1;6;52.6;1.9;0.18;483;usda:172791;
Коржі для піци;готове;8.5;7.1;54.6;2.5;3.3;681;ciqual:96778;
Олія соняшникова;як продається;0;100;0;0;0;0;usda:171025;
Олія соняшникова нерафінована;як продається;0;99.9;0;0;0;;estimate;
Олія оливкова extra virgin;як продається;0.25;99.9;0;0;0;;ciqual:17270;
Олія оливкова рафінована;як продається;0;100;0;0;0;2;usda:171413;
Олія ріпакова;як продається;0;100;0;0;0;0;usda:172336;
Олія кукурудзяна;як продається;0;100;0;0;0;0;usda:171029;
Олія лляна;як продається;0.11;99.98;0;0;0;0;usda:167702;
Олія кунжутна;як продається;0;100;0;0;0;0;usda:171016;
Олія кокосова;як продається;0;99.06;0;0;0;0;usda:171412;
Олія авокадо;як продається;0;100;0;0;;0;usda:173573;
Олія гарбузова;як продається;0;92;0;0;0;0;estimate;
Смалець;як продається;0;100;0;0;0;0;usda:171401;
Жир яловичий;як продається;0;100;0;0;0;0;usda:171400;
Качиний жир;як продається;0;99.8;0;0;0;0;ciqual:16550;
Томатна паста;як продається;4.32;0.47;18.91;4.1;12.18;59;usda:170459;
Томати консервовані у власному соку;як продається;0.79;0.25;3.47;1.9;2.55;115;usda:170051;
Пасата;як продається;1.65;0.21;8.98;1.9;4.83;202;usda:170546;
Кетчуп;як продається;1.04;0.1;27.4;0.3;21.27;907;usda:168556;
Майонез;як продається;0.96;74.85;0.57;0;0.57;635;usda:171009;
Майонез легкий;як продається;0.37;22.22;9.23;0;3.56;827;usda:173594;
Гірчиця;як продається;3.74;3.34;5.83;4;0.92;1104;usda:172234;
Гірчиця діжонська;як продається;7.2;11.5;3.2;2.1;2.7;2600;estimate;
Соєвий соус;як продається;8.14;0.57;4.93;0.8;0.4;5493;usda:174277;
Устричний соус;як продається;1.35;0.25;10.92;0.3;0;2733;usda:174529;
Рибний соус;як продається;5.06;0.01;3.64;0;3.64;7851;usda:174531;
Теріякі;як продається;5.93;0.02;15.56;0.1;14.1;3833;usda:171167;
Песто;як продається;5;42.42;6.14;1.7;1.92;998;usda:171580;
Соус барбекю;як продається;0.82;0.63;40.77;0.9;33.24;1027;usda:174523;
Соус табаско;як продається;0.51;0.37;1.75;0.3;1.26;2643;usda:174527;
Соус шрірача;як продається;1.93;0.93;19.16;2.2;15.11;2124;usda:171186;
Аджика;як продається;1.7;3.2;10.7;;7.7;343.2;estimate;
Хрін столовий;як продається;1.18;0.69;11.29;3.3;7.99;420;usda:173472;
Оцет яблучний;як продається;0;0;0.93;0;0.4;5;usda:173469;
Оцет винний;як продається;0.04;0;0.27;0;0;8;usda:172240;
Оцет бальзамічний;як продається;0.49;0;17.03;;14.95;23;usda:172241;
Оцет рисовий;як продається;0.5;0.5;0.5;0;0;4;estimate;
Лимонний сік;сире;0.35;0.24;6.9;0.3;2.52;1;usda:167747;
Соус сальса;як продається;1.52;0.17;6.64;1.9;4.01;711;usda:174524;
Соус ранч;як продається;1.32;44.54;5.9;0;4.69;901;usda:173592;
Соус цезар;як продається;2.17;57.85;3.3;0.5;2.81;1209;usda:169055;
Кокосове молоко;як продається;2.29;23.84;5.54;2.2;3.34;15;usda:170172;
Кокосові вершки;як продається;3.63;34.68;6.65;2.2;;4;usda:170580;
Вершковий соус бешамель (готовий);як продається;2.56;7.4;6.2;1.3;3.1;274;ciqual:11101;
Бульйон курячий рідкий;як продається;0.64;0.21;0.44;0;0.43;371;usda:174536;
Бульйон яловичий;як продається;1.14;0.22;0.04;0;0;372;usda:171538;
Бульйонний кубик;сухе;16.66;13.88;18.01;0;17.36;23875;usda:171562;
Місо паста;як продається;12.79;6.01;25.37;5.4;6.2;3728;usda:172442;
Каррі паста;як продається;2.28;12;12;;6;912;estimate;
Васабі;як продається;2.23;10.9;46.13;6.1;13.2;3390;usda:171831;
Гочуджанг;як продається;5;2.2;42.2;2.7;25.2;2640;estimate;
Цукор;як продається;0;0;99.98;0;99.8;1;usda:169655;
Сіль;як продається;0;0;0;0;0;38758;usda:173468;
Консервований горошок;як продається;4.33;0.95;11.82;;;231;usda:170015;
Консервована кукурудза;як продається;2.29;1.22;14.34;2;4.44;205;usda:169214;
Квасоля в томаті;як продається;4.75;0.37;21.14;4.1;7.96;343;usda:175182;
Огірки мариновані;як продається;0.33;0.2;2.26;1.2;1.06;1208;usda:169379;
Томати мариновані;як продається;1;0.2;5;1.2;3;700;estimate;
Лечо;як продається;1.5;0;12.5;;;;estimate;
Ікра кабачкова;як продається;2;5;7;;5.5;511;estimate;
Оливки консервовані;як продається;0.84;10.9;6.04;1.6;0;735;usda:169094;
Гриби мариновані (консерви);як продається;1.87;0.29;5.09;2.4;2.34;425;usda:169254;
Ананас консервований;як продається;0.51;0.11;15.56;1.3;14.26;1;usda:167767;
Персик консервований;як продається;0.63;0.03;11.57;1.3;10.27;4;usda:169930;
Тунець в олії (консерви);як продається;29.13;8.21;0;0;0;416;usda:173708;
Сардина (консерви);як продається;24.62;11.45;0;0;0;307;usda:175139;
Шпроти (консерви);як продається;17;32;0;;0;680;estimate;
Печінка тріски (консерви);як продається;7.25;44.4;1;0;0;446;ciqual:26142;
Тушонка свиняча;як продається;16;25;1;0;0;700;estimate;
Тушонка яловича;як продається;18;17;1;0;0;700;estimate;
Паштет мʼясний консервований;як продається;14.2;28;1.5;0;;697;usda:172930;
Кукурудза бебі;як продається;1.9;0.4;8.2;2.8;3;300;estimate;
Каперси (консерви);як продається;2.36;0.86;4.89;3.2;0.41;2348;usda:172238;
Артишоки в олії;як продається;1.7;11;1.1;;0.9;920;estimate;
Вʼялені томати в олії;як продається;5.06;14.08;23.33;5.8;;266;usda:169384;
Перець печений в олії;як продається;0;5.36;7.14;3.6;3.57;300;estimate;
Цукор білий;як продається;0;0;99.98;0;99.8;1;usda:169655;
Цукор коричневий;як продається;0.12;0;98.09;0;97.02;28;usda:168833;
Цукрова пудра;як продається;0;0;99.77;0;97.81;2;usda:169656;
Мед;як продається;0.3;0;82.4;0.2;82.12;4;usda:169640;
Кленовий сироп;як продається;0.04;0.06;67.04;0;60.46;12;usda:169661;
Сироп агави;як продається;0.09;0.45;76.37;0.2;68.03;4;usda:170277;
Варення;як продається;0.37;0.07;68.86;1.1;48.5;32;usda:169641;
Джем;як продається;0.37;0.07;68.86;1.1;48.5;32;usda:169641;
Повидло;як продається;0.39;0.3;42.47;1.5;35.3;15;usda:168816;
Шоколад чорний 70–85%;як продається;7.79;42.63;45.9;10.9;23.99;20;usda:170273;
Шоколад молочний;як продається;7.65;29.66;59.4;3.4;51.5;79;usda:167587;
Шоколад білий;як продається;5.87;32.09;59.24;0.2;59;90;usda:167571;
Какао-порошок;сухе;19.6;13.7;57.9;37;1.75;21;usda:169593;
Какао-масло;як продається;0;100;0;0;0;0;usda:171421;
Згущене молоко варене;як продається;6.84;7.35;55.35;0;49.74;129;usda:173461;
Нутела/горіхова паста;як продається;6.3;30.9;57.5;3.4;56.3;42.8;estimate;
Зефір;як продається;0.8;0;76.6;;69.7;;estimate;
Мармелад;як продається;1.69;1.8;76.6;3.9;69.2;31;ciqual:31014;
Пастила;як продається;0.6;0;76.4;;75.4;;estimate;
Халва;як продається;10.2;37.1;41.4;;26.8;0;estimate;
Козинаки;як продається;12;30;52;6;35;150;estimate;
Печиво пісочне;як продається;5.37;26.22;63.78;1.3;21.65;353;usda:174967;
Печиво вівсяне;як продається;6.2;18.1;68.7;2.8;24.66;520;usda:172725;
Галети;як продається;7.78;13.3;73.4;2.54;22;462;ciqual:24015;
Крекери солодкі;як продається;7;16;68;2.5;22;500;estimate;
Вафлі;як продається;6.51;9.7;80;2.05;34.6;257;ciqual:24300;
Пряники;як продається;3.14;1.15;71.8;3.78;40.8;189;ciqual:23200;
Кекс;як продається;5;13.96;53.64;0.6;33.36;377;usda:172704;
Бісквіт;як продається;5.4;2.7;61;0.5;36.66;623;usda:172706;
Торт (типовий бісквітний з кремом);як продається;5;18;45;1;30;250;estimate;
Чізкейк;як продається;5.5;22.5;25.5;0.4;21.8;438;usda:172711;
Тірамісу;як продається;4.25;9.8;30.2;1.2;19.5;77;ciqual:19698;
Панкейки;готове;6.4;9.7;28.3;;;439;usda:175009;
Сирники;як продається;15.93;8.43;17.94;;;;estimate;
Млинці;готове;8.85;11.29;22.02;0.6;4.48;278;usda:2708342;
Желатин;сухе;85.6;0.1;0;0;0;196;usda:169599;
Перець чорний мелений;сухе;10.39;3.26;63.95;25.3;0.64;20;usda:170931;
Перець духмяний;сухе;6.09;8.69;72.12;21.6;;77;usda:171315;
Паприка мелена;сухе;14.14;12.89;53.99;34.9;10.34;68;usda:171329;
Паприка копчена;сухе;14;13;55;35;10;70;estimate;
Куркума;сухе;9.68;3.25;67.14;22.7;3.21;27;usda:172231;
Кмин;сухе;17.81;22.27;44.24;10.5;2.25;168;usda:170923;
Коріандр мелений;сухе;12.37;17.77;54.99;41.9;;35;usda:170922;
Кориця;сухе;3.99;1.24;80.59;53.1;2.17;10;usda:171320;
Мускатний горіх;сухе;5.84;36.31;49.29;20.8;2.99;16;usda:171326;
Гвоздика;сухе;5.97;13;65.53;33.9;2.38;277;usda:171321;
Лавровий лист;сухе;7.61;8.36;74.97;26.3;;23;usda:170917;
Орегано сушений;сухе;9;4.28;68.92;42.5;4.09;25;usda:171328;
Базилік сушений;сухе;22.98;4.07;47.75;37.7;1.71;76;usda:171317;
Чебрець сушений;сухе;9.11;7.43;63.94;37;1.71;55;usda:170938;
Розмарин сушений;сухе;4.88;15.22;64.06;42.6;;50;usda:171333;
Кріп сушений;сухе;19.96;4.36;55.82;13.6;;208;usda:171322;
Сушений часник;сухе;16.55;0.73;72.73;9;2.43;60;usda:171325;
Сушена цибуля;сухе;10.41;1.04;79.12;15.2;6.63;73;usda:171327;
Чилі мелений;сухе;13.46;14.28;49.7;34.8;7.19;2867;usda:171319;
Каррі порошок;сухе;14.29;14.01;55.83;53.2;2.76;52;usda:170924;
Суміш хмелі-сунелі;сухе;10;8;45;25;4;100;estimate;
Ваніль/ванільний цукор;сухе;0.1;0.33;98.6;0.37;97.2;3;ciqual:31044;
Сода;сухе;0;0;0;0;0;27360;usda:175040;
Лимонна кислота;сухе;0;0;0;0;0;0;estimate;
Вода;як продається;0;0;0;0;0;2;usda:174158;
Кава еспресо;готове;0.12;0.18;1.67;0;0;14;usda:171891;
Кава з молоком (капучино);готове;1.71;0.99;2.75;0;2.46;23;usda:2710472;
Чай чорний без цукру;готове;0;0;0.3;0;0;3;usda:173227;
Чай зелений;готове;0.22;0;0;0;0;1;usda:171917;
Какао з молоком;готове;1.82;1.04;13.9;0.2;12;66;usda:2705472;
Сік апельсиновий;як продається;0.7;0.2;10.4;0.2;8.4;1;usda:169098;
Сік яблучний;як продається;0.1;0.13;11.3;0.2;9.62;4;usda:173933;
Сік томатний;як продається;0.85;0.29;3.53;0.4;2.58;253;usda:170458;
Сік мультифрукт;як продається;0.5;0.1;11.5;0.3;10;5;estimate;
Компот;готове;0.2;0.1;10;0.5;9;5;estimate;
Узвар;готове;0.3;0.1;12;0.8;10;5;estimate;
Квас;як продається;0;0;7.4;;5.9;0;estimate;
Кола;як продається;0;0.25;10.36;0;9.94;3;usda:174852;
Лимонад;як продається;0;0;8.24;0.14;8.22;5.72;ciqual:18010;
Енергетик;як продається;0.46;0;10.23;0;10.22;39;usda:173210;
Молоко вівсяне;як продається;0.25;1.1;7.78;;5;26.4;ciqual:18899;
Молоко мигдальне;як продається;0.55;1.22;0.34;0;0;59.58;usda:1750338;
Молоко соєве;як продається;3.27;1.75;6.28;0.6;3.99;51;usda:172446;
Молоко кокосове (напій);як продається;0.25;2.1;2.75;;2.46;35.6;ciqual:18907;
Протеїновий коктейль (порошок);сухе;78.13;1.56;6.25;3.1;0;156;usda:173180;
Вино сухе червоне;як продається;0.07;0;2.61;0;0.62;4;usda:173190;10.6
Вино сухе біле;як продається;0.07;0;2.6;0;0.96;5;usda:174837;10.3
Вино напівсолодке;як продається;0;0;5;0;5;0;estimate;
Шампанське/ігристе;як продається;0.3;0;1.4;0;1.4;1.93;ciqual:5207;9.56
Пиво світле;як продається;0.46;0;3.55;0;0;4;usda:168746;3.9
Пиво темне;як продається;0.43;0;4.1;0;4.1;11.6;ciqual:5000;3.91
Сидр;;;;;;;;estimate;
Горілка;як продається;0;0;0;0;0;1;ciqual:1008;33.22
Віскі;як продається;0;0;0.1;0;0.1;0;ciqual:1005;33.22
Коньяк;як продається;0;0;0.76;0;0;0.75;ciqual:1023;33.22
Лікер;як продається;0.1;0.23;25.4;0;17.4;8;ciqual:1003;18.26
Вермут;як продається;0.05;0;11.3;0;11.1;15;ciqual:1007;11.84
Борщ;готове;0.52;0.37;3.9;0.8;2.24;245;usda:2710105;
Суп курячий з локшиною;готове;3.84;1.4;6.21;0.7;0.81;248;usda:2709149;
Суп гороховий;готове;3.55;0.7;10.59;3.8;2.16;244;usda:2707459;
Окрошка;готове;3;3;5;1;2.5;350;estimate;
Олівʼє;готове;5;15;10;2;2;500;estimate;
Вінегрет;готове;1.5;7;10;2.5;4;400;estimate;
Салат цезар;готове;4;3.41;7.49;1.8;1.23;238;usda:2709591;
Грецький салат;готове;2.75;2.26;4.35;1.5;1.43;246;usda:2709830;
Котлета куряча;готове;20.83;18.75;2.59;0.2;0.49;575;usda:2706545;
Котлета свиняча;готове;17;20;8;1;1;500;estimate;
Голубці;готове;8.3;5.06;8.83;1.3;3.45;338;usda:2706620;
Деруни;готове;4.47;10.8;20.64;2.2;1.11;402;usda:2709552;
Плов;готове;3.29;3.03;24.08;0.4;0.48;414;usda:2709077;
Паста болоньєзе;готове;5.58;3.39;15.06;1.5;2.88;295;usda:2709142;
Паста карбонара;готове;5.91;8.7;14.2;1.18;1.79;347;ciqual:25135;
Лазанья;готове;7.45;4.97;16.17;1.6;3.33;390;usda:2708750;
Піца маргарита;готове;11.39;9.69;33.33;2.3;3.58;540;usda:2708616;
Бургер;готове;17.87;16.15;18.71;0.6;2.98;438;usda:2706897;
Картопля фрі;готове;3.43;14.73;41.44;3.8;0.3;210;usda:2709461;
Картопляне пюре;готове;2.15;4.07;17.6;1.2;2.13;210;usda:2709496;
Картопля печена;готове;2.5;0.13;21.15;2.2;1.18;10;usda:170093;
Рис відварений;готове;2.69;0.28;28.17;0.4;0.05;1;usda:169757;
Гречка відварена;готове;3.38;0.62;19.94;2.7;0.9;4;usda:170686;
Макарони відварені;готове;5.8;0.93;30.86;1.8;0.56;1;usda:168928;
Яєчня;готове;13.61;14.84;0.83;0;0.4;207;usda:173423;
Омлет;готове;10.57;11.66;0.64;0;0.31;155;usda:172185;
Вівсянка на молоці;готове;5.56;3.25;16.23;1.7;5.08;105;usda:2708383;
Сирники (страва);готове;15;10;18;1;8;250;estimate;
Вареники з картоплею відварені;готове;5.26;6.14;29.64;0.9;1.75;474;usda:2708720;
Пельмені відварені;готове;11;11;25;1.2;1;550;estimate;
Курка запечена;готове;29.8;7.78;0;0;0;71;usda:171075;
Риба запечена;готове;22.83;0.86;0;0;0;78;usda:171956;
Шашлик свинячий;готове;24;18;2;0;1;450;estimate;
Суші (нігірі лосось);готове;8.92;1.74;13.39;0.6;0.8;317;usda:2708969;
Рол каліфорнія;готове;2.92;0.67;18.39;1;2.13;428;usda:2708961;
Шаурма;готове;11.24;6.76;18.78;1;1.74;323;usda:2706962;
Хот-дог;готове;10.85;17.37;23.73;0.8;3.92;681;usda:2707056;
Млинці з сиром;готове;9;9;25;1;8;350;estimate;
Чебурек;готове;10;20;30;2;2;500;estimate;
Самса;готове;5.14;17.47;33.16;1.8;1.28;388;usda:2708730;
